Brand,Name,Price,Size,Rating,Details,Ingredients
KEVYN AUCOIN,The Sensual Skin Enhancer Concealer and Foundation,$48.00 ,SIZE 0.63 oz/ 18 g,4.0 / 5 stars,"What it is:
 A must-have concealer and foundation that covers, contours, perfects, and corrects as it mimics the appearance of healthy, radiant skin.

What it does:
Cover all your bases with this one of a kind, all-in-one, Kevyn Aucoin original formula. Correct, conceal, and contour with this complete coverage foundation. Jojoba oil, honey, and minerals hydrate the skin and create the ultimate soft, dewy complexion. The formula is long-wearing, sweat-proof, and perfect for all skin types and tones.

What it is formulated WITHOUT:
- Sulfates
- Phthalates

What else you need to know:
 The Concealer Brush is the perfect measuring tool to pick up a rice grain-size amount, which is all you need to create complete coverage.","Mineral Oil, Polybutene, Diethylhexyl Succinate, Polyethylene, Quaternium-18 Hectorite, Calcium Carbonate, Dextrin Palmitate, Honey, Simmondsia Chinensis (Jojoba) Seed Oil, Tocopherol,Cera Alba (Beeswax/Cire d'abeille), Butylene Glycol, Cholesterol, Lecithin, Talc, Triethylhexanoin, Methylparaben, Fragrance (Parfum). May Contain (+/-) : Iron Oxides (CI 77491,CI 77492, CI 77499), Mica, Titanium Dioxide (CI 77491)."
Laura Mercier,Mineral Powder ,$42.00 ,SIZE 0.34 oz/ 9.5 g,4.5 / 5 stars,"Coverage: 
? Sheer 

Skin type: 
? Sensitive 
? Normal 
? Dry 
? Combination 
? Oily 

Finish: 
? Radiant 

What it is: 
 An oil-free, loose powder foundation that’s infused with minerals and creates a smooth, radiant, soft-focus effect. 

What it does: 
 Mineral Powder give your complexion a natural, healthy, youthful-looking glow while reducing the visible signs of aging with 15 key amino acids. Pearlescent powders and mica provide the coverage of a foundation with the blendability and easy application of a loose powder. It’s long-wearing and water-resistant for sheer-to-medium coverage that lasts all day. 

What it is formulated WITHOUT: 
- Parabens 
- Sulfates 
- Phthalates 

What else you need to know: 
 Renowned makeup artist Laura Mercier believes that Foundation's true purpose is to even out your skin tone so it looks its very best. Her foundations create a flawless, natural look that lets your skin show through, yet they are distinctly lighter in weight and texture. The aim is to enhance your beauty, not cover it up. 

This professional-quality foundation is noncomedogenic and dermatologist-tested.","Pearl Powder. May Contain (+/-): Mica (CI 77019), Bismuth Oxychloride (CI 77163), Titanium, Iron Oxides (CI 77491, CI 77492, CI 77499)."
CLINIQUE,Stay-Matte Sheer Pressed Powder,$25.00 - $26.00,N/A,4.3 / 5 stars,"Coverage: 
? Sheer 

Skin type: 
? Dry 
? Combination 
? Oily 

Finish: 
? Matte 

What it is: 
An oil-free, shine-absorbing pressed powder that leaves a matte finish.

What it does: 
The ultra-sheer texture of this pressed powder gives the complexion a perfected, matte appearance. It's ideal for oily skin and oily spots, and it maintains a fresh look and feel, even after frequent touch-ups. It provides sheer-to-moderate coverage.

What it is formulated WITHOUT: 
- Parabens 

What else you need to know: 
This product is for dry-combination to oily and very-oily skin types. It is non-acnegenic, allergy-tested, and free of fragrance and minerals. 

*This product is in the process of phasing in new packaging. The product you receive might look slightly different than the one shown here.

Beauty tip: 
Before applying, use CLINIQUE Dramatically Different Moisturizing Lotion+ (sold separately) to get silky-smooth, hydrated skin that lasts all day.","Talc , Octyldodecyl Stearoyl Stearate , Calcium Stearate , Calcium Silicate , Silica , Trimyristin , Nylon-12 , Ppg-12/Smdi Copolymer , Methicone , Dimethicone , Hydrogenated Lecithin , Tetrasodium Edta , Potassium Sorbate , Phenoxyethanol , [+/- Mica , Bismuth Oxychloride (Ci 77163) , Titanium Dioxide (Ci 77891) , Iron Oxides (Ci 77491, Ci 77492, Ci 77499) , Ultramarines (Ci 77007) , Carmine (Ci 75470) , Manganese Violet (Ci 77742)] "
Bobbi Brown,Skin Long-Wear Weightless Foundation SPF 15,$46.00 ,SIZE 1 oz/ 30 mL,3.9 / 5 stars,"Coverage: 
? Full 

Skin type: 
? Normal 
? Combination 
? Oily 

Finish: 
? Natural 

SPF: 
- SPF 15 

What it is: 
 A 16-hour wear, buildable medium to full coverage foundation with a natural, multidimensional matte finish that’s comfortable, breathable, and weightless. 

What does: 
Created through a high speed cold fusion process, this ultra-silky emulsion features a perfectly balanced blend of skin-loving ingredients, oil controlling actives, and skin-true pigments—with 16-hour wear. Incredibly smooth and blendable, it glides on with a second-skin feel and multidimensional matte finish. Pigments are precisely balanced through artistry expertise to skin’s top tones and undertones to deliver the most natural-looking shade range for all skin tones. 

This skin-loving, non-acnegenic formula with marine sugar cane algae extract and natural mineral powders helps control excess oil and shine. Meanwhile, moisture-binding glycerin delivers refreshing hydration. Skin feels balanced and comfortable—never tight. Tried and tested in extreme heat and humidity, this 16-hour formula is waterproof and sweat- and humidity-resistant. The flexible coverage won’t crease or streak and stays color-true. Treated skin-true pigments suspended in an emollient gel base float on skin, reflecting light to enhance skin’s natural contours and dimension, instantly concealing redness, discoloration, and pores with full yet natural coverage. 

What it is formulated WITHOUT: 
- Parabens 
- Sulfates 
- Phthalates 

What else you need to know: 
 This foundation is available in 30 perfectly calibrated, skin-true shades for all skin tones. It is ideal for normal to oily skin. It is vegan and gluten-free. 

Research results: 
In a 4 week consumer study with 101 participants: 
- 93% felt it immediately minimized the look of pores 
- 92% said their skin looked more even-toned throughout the day 
- 96% said it immediately left their skin looking shine-free 
- 84% felt it left their skin feeling hydrated 
- 91% said their skin looked fresh throughout the day 
- 81% said the foundation stood up to all their activities ","Octinoxate 3.0%, Titanium Dioxide 1.6%Ingredients

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients."
Koh Gen Do,Aqua Foundation,$67.00 ,SIZE 1.01 oz/ 30 mL,2.0 / 5 stars,"Coverage:
? Medium

Skin type:
? Sensitive
? Normal
? Dry
? Combination
? Oily

Finish:
? Radiant

What it is:
A high-definition, long-wearing mineral foundation with a natural, luminous finish.

What it does:
 Aqua Foundation’s long-wearing, featherweight formula includes Koh Gen Do’s new Gloss Film Powder, which helps it fit onto skin and softly brighten areas of dullness. Now with increased coverage, sweat-resistance, and oil-resistance, this formulation’s light-diffusing minerals and weightless base hydrates skin for a flawless complexion and youthful glow that lasts all day.

What it is formulated WITHOUT:
- Parabens
- Sulfates
- Phthalates

What else you need to know:
 This skincare-infused foundation provides a luminous finish, as well as buildable coverage that smooths the appearance of pores and imperfections.

This product was not tested on animals. It has been formulated without artificial colors, synthetic fragrance, mineral oil derived from petroleum, or parabens.","-Deep Waters of Bretagne: Nourishes skin with minerals.
-Soft-Focus Pigments: Brighten while reducing the appearance of pores and discoloration.
-T3 Oil: Koh Gen Do’s signature blend of jojoba oil, olive squalene, and shea butter to leave skin soft and "
CLINIQUE,Even Better Makeup SPF 15,$29.00 ,N/A,4.2 / 5 stars,"Coverage:
? Medium

Finish:
? Natural

What it is:
A dermatologist-developed liquid foundation that immediately brightens and evens out the skintone with naturally luminous minerals.

What it does:
Wear this oil-free Even Better Makeup SPF 15 and something amazing happens: Without any makeup, you will see improved clarity, a more even skintone, and visibly diminished age spots. These results can be witnessed by all ethnicities in just 4 to 6 weeks. The long-wearing formula provides moderate-to-full coverage and also helps prevent new discolorations with SPF-plus antioxidants. 

What it is formulated WITHOUT: 
- Parabens 

What else you need to know:
For continued benefits that last even after you take it off partner with Even Better Clinical Dark Spot Corrector.","Octinoxate 5.90% , Titanium Dioxide 3.50% , Zinc Oxide 2.80%Water\Aqua\Eau , Methyl Trimethicone , Phenyl Trimethicone , Dimethicone , Triethylhexanoin , Butylene Glycol , Trimethylsiloxysilicate , Yeast Extract\Faex\Extrait De Levure , Peg-10 Dimethicone , Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone , Alumina , Citrus Grandis (Grapefruit) Peel Extract , Betula Alba (Birch) Bark Extract , Saccharomyces Lysate Extract , Astrocaryum Murumuru Seed Butter , C12-15 Alkyl Benzoate , Glycerin , Sodium Myristoyl Sarcosinate , Acetyl Glucosamine , Caprylyl Methicone , Methicone , Polyglyceryl-6 Polyricinoleate , Disteardimonium Hectorite , Dimethicone Crosspolymer-3 , Isopropyl Titanium Triisostearate , Lecithin , Laureth-7 , Tocopheryl Acetate , Magnesium Ascorbyl Phosphate , Dimethicone/Peg-10/15 Crosspolymer , Dipropylene Glycol , Sodium Chloride , Caprylyl Glycol , Tetrahexyldecyl Ascorbate , Disodium Edta , Phenoxyethanol , Polyaminopropyl Biguanide , [+/- Titanium Dioxide (Ci 77891) , Iron Oxides (Ci 77491, Ci 77492, Ci 77499) , Mica , Bismuth Oxychloride (Ci 77163)] "
Hourglass,Illusion® Hyaluronic Skin Tint,$56.00 ,SIZE 1.0 oz,4.2 / 5 stars,"Coverage: 
? Medium 

Skin type: 
? Sensitive 
? Normal 
? Dry 

Finish: 
? Radiant 

SPF: 
- SPF 15 

What it is: 
A foundation that smooths the look of fine lines and wrinkles and sagging skin, and delivers a radiant glow for a smoother, firmer, youthful-looking complexion. 

What it does: 
 Illusion® Hyaluronic Skin Tint is a hydrating and firming foundation that evens out the skin tone, softens imperfections, and boosts moisture levels in the skin. It is formulated with Hourglass’ Hyaluronan Complex, an advanced form of hyaluronic acid that plumped, tightened appearance while filling in deep wrinkles. Pearlescent pigments infuse the complexion with a luminous glow. Its whipped, creamy texture imparts medium-to-full coverage while providing broad spectrum SPF 15 sun protection. 

What it is formulated WITHOUT: 
- Parabens 
- Sulfates 
- Phthalates 

What else you need to know: 
""Illusion Hyaluronic Skin Tint infuses your skin with an almost supernatural glow but it also addresses the visible signs of aging. It lifts, tightens and hydrates skin. It does wonders for dull, lackluster skin.""—Carisa Janes, Hourglass Founder 

Hourglass products are 100 percent cruelty-free. 

 This product is free of fragrance. 

Research results: 
In a consumer study of 30 women after 2 weeks: 
- 100% reported an improvement in the look of skin’s firmness and smoothness 
- 100% said fine lines and wrinkles seemed reduced 
- 96% reported a noticeable increase in skin’s radiance ",#NAME?
Yves Saint Laurent,TOUCHE ECLAT LE TEINT Radiance Awakening Foundation SPF 22,$58.00 ,SIZE 1 oz,3.7 / 5 stars,"What it is: 
A bestselling foundation, now in an advanced formula, that reduces the look of fatigue and creates flawless coverage. 

What it does: 
 Touche Éclat Le Teint Radiance Awakening Foundation is enriched with stimulating Ruscus Extract, an anti-fatigue formula that energizes skin by stimulating micro-circulation and targeting dullness to instantly improve the look your skin’s brightness and luminosity, while the Vitamin E protects against free radicals. Formulated with SPF 22 to provide sun protection, it leaves a weightless finish while offering eight hours of a refreshed, radiant look. ",-Octinoxate 6.8%: Sunscreen
COVER FX,Natural Finish Foundation,$42.00 ,SIZE 1 oz/ 30 mL,3.6 / 5 stars,"Coverage:
? Medium

Skin type:
? Sensitive
? Normal
? Dry

Finish:
? Natural

What it is:
 A water-based liquid foundation that imparts a radiant finish to the skin.

What it does:
 Available in 40 global shades, this oil-free foundation has a silky, hydrating feel that glides on the skin and imparts a radiant, second-skin finish. Loaded with skincare ingredients, it contains vitamin C and vitamin E to help protect against free radicals. The lightweight texture is formulated to leave a luminous, soft focus finish to the skin and is buildable for a medium-to-full coverage.

What it is formulated WITHOUT:
- Parabens

What else you need to know:
 The Cover FX Shade System is based on undertone and depth for a truly perfect match. To make shade matching simple, the shades are consistent across all formulas. Find your match in one Cover FX foundation and it’s your perfect match across all formulas.

Choose your shade range (light to deep):
 Light: 0-20
 Medium: 25-40
 Medium Deep: 50-85
 Deep 90-125

Choose your undertone: 
 P = Pink: A rosy, cooler hue to the skin
 N = Neutral: Equal parts of pink and golden hue to the skin
 G = Golden: A yellow, warmer hue to the skin*
*The G+ shades in the Golden range are even warmer and more olive than the G shades.

This product is clinically tested, vegan, and free of fragrance, gluten, mineral oil, and talc.","Water, Polyglyceryl-2 Triisostearate, Caprylic/Capric Triglyceride, Isohexadecane, Polyglyceryl-4 Isostearate, Diethylhexyl Carbonate, Glycerin, Erythritol, Dimethicone, Squalane, Tribehenin, Hydrogenated Polyisobutene, Cetyl PEG/PPG-10/1 Dimethicone, Triacontanyl PVP, Ethyl Linoleate, Ethyl Linolenate, Disteardimonium Hectorite, Ethyl Oleate, Magnesium Sulfate, Tocopherol, Caprylyl Glycol, Phenoxyethanol, Butylene Glycol, Sodium Stearoyl Stearate, Bisabolol, Tetrahexyldecyl Ascorbate, Lauroyl Lysine, Sorbitol/Sebacic Acid Copolymer Behenate, Disodium EDTA, Phytosphingosine, Xanthan Gum, Homarine HCl and Tetrapeptide-21. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Chromium Oxide Green (CI 77288)."
tarte,Amazonian Clay Full Coverage Airbrush Foundation ,$36.00 ,SIZE 0.247 oz/ 7 g,4.1 / 5 stars,"What it is:
 A talc-free, 12-hour medium-coverage, weightless powder foundation. 

What it does:
 Amazonian Clay Full Coverage Airbrush Foundation delivers flawless, natural-looking coverage that lasts, while the skintuitive™ formula invigorates skin tone and texture for a youthful complexion. Powered by Amazonian clay enriched with the earth’s natural, light-reflecting gemstones, this talc-free, moisture-rich powder buffs on smoothly for waterproof, 12-hour coverage that won’t settle into fine lines and wrinkles. Available in an array of shades to perfectly complement a wide range of skin tones and undertones, this innovative foundation also employs a custom mesh delivery system for a fool-proof, mess-free application every time. 

What it is formulated WITHOUT:
- Parabens
- Phthalates

What else you need to know: 
 This product is vegan and hypoallergenic. 

Research results:
91% of women saw an overall improvement in the appearance of their skin with continued use.","-Amazonian Clay: Nature’s most perfect ingredient for better, longer, truer wear. -Tourmaline: A natural gemstone known to energize skin for a brighter, more radiant complexion. -Pearl Powder: Provides anti-inflammatory, invigorating, and anti-bacterial p"
SUNDAY RILEY,The Influencer Clean Long Wear Foundation,$42.00 ,SIZE 1.08 oz/ 32 mL,3.2 / 5 stars,"Which skin type is it good for?
? Normal
? Oily
? Combination 

What it is:
 A clean, long-lasting foundation with medium to full coverage—formulated with your skin's health in mind. 

Solutions for:
- Redness
- Uneven skin tone
- Oiliness 

If you want to know more…
The Influencer Clean Longwear Foundation redefines the line between skincare and makeup. It provides clean, natural-looking, long-lasting coverage that doesn’t dry out as the day (or night) goes on, with a satin-matte finish that stays fresh looking even through workouts or humidity. It’s available in 20 perfectly buildable, medium-to-full coverage shades that expertly conceal redness, pores, and dark spots without ever looking cakey. With just one pump, get perfectly even skin with ultra-natural coverage. For fuller coverage and more concealing power that never cracks or creases, layer as needed—without worrying about clogging your pores. No matter what your desired coverage, you are always in control: you still look like you. 

Great for all skin types, The Influencer controls oil, but never dehydrates your skin for a fresh, healthy-looking, shine-free complexion. Canadian willowherb, northern truffle extract, and bisabolo give soothing effects, so that even the most sensitive skin looks its best. Pores are instantly minimized for the ultimate smooth canvas. You've trusted Sunday Riley with your skincare, now trust them with your foundation! 

What else you need to know:
The Influencer is cruelty-free and formulated without cyclopentasiloxane, synthetic fragrance, talc, and gluten. It's perfectly buildable so you can control the level of coverage, from natural-looking, medium coverage to long-wear, all-day and all-night, full coverage. 

""We know you can't stand the look of foundation settling into lines or causing creasing or cakiness. I can't stand how most foundations dry out my skin and cause irritation. My goal was to create a skin-friendly foundation that evens out your complexion with easily buildable, natural-looking coverage, for everyone's perfect finish: whether you battle sensitivity, uneven tone, redness, texture, dark spots, or blemishes . My mantra is the final step in a great skincare regimen is a clean, lightweight, long-wear foundation.""—Sunday Riley ","-Silicone Glycerol Emulsifier: Keeps your foundation looking fresh and natural looking all day, so that it never dries out or looks cakey. 
-Canadian Willowherb: Helps keep skin clear and radiant, even with all day foundation wear. 
-Northern Truffle Ex"
AMOREPACIFIC,Color Control Cushion Compact Broad Spectrum SPF 50+,$15.00 - $60.00,SIZE 1.05 oz,4.0 / 5 stars,"Which skin type is it good for?
? Normal
? Oily
? Combination
? Dry
? Sensitive 

What it is:
A multifunctional cushion that delivers the perfect blend of skin care and coverage, with weightless buildable coverage and effortless perfection. 

Solutions for:
- Dryness
- Dullness and uneven texture 

If you want to know more…
Blur the line between skin care and makeup. This versatile Color Control Cushion Compact perfects the complexion with weightless, buildable coverage, while potent Asian botanicals deeply hydrate, protect from free-radical damage, and brighten skin for a naturally flawless finish. Powerful broad-spectrum SPF 50+ defends against daily exposure to UVA and UVB rays without the typical white cast left from high sun protection content in other foundations. Housed in a convenient compact, this cushion is excellent for everyday use. Apply as the last step in your skin care regimen or on its own for instant perfection that is never messy or cakey. 

What it is formulated WITHOUT:
- Parabens
- Sulfates
- Phthalates 

What else you need to know:
This product is cruelty-free. ","-Ethylhexyl Methoxycinnamate: 7% 
-Titanium Dioxide: 4.15% 
-Zinc Oxide: 9.8% 

Phyllostachis Bambusoides Juice, Cyclopentasiloxane, Cyclohexasiloxane, Peg-10 Dimethicone, Phenyl Trimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Al"
IT Cosmetics,Bye Bye Redness™ Neutralizing Correcting Cream,$32.00 ,SIZE 0.37 oz,4.2 / 5 stars,"What it is: 
 A revolutionary skin care cream that completely cancels out redness, color corrects, and delivers full coverage in one step. 

What it does: 
 Bye Bye Redness™ is a color-infused skin care product that works as a skin-calming cream and completely cancels redness from view—all while delivering long-wearing, color-correcting full coverage. Rich in antiaging ingredients—including colloidal oatmeal, hydrolyzed collagen, peptides, aloe and avocado—it camouflages any red-toned skin discolorations including rosacea, broken capillaries, blemishes, skin irritations, sun damage, scars, age spots, and more. Perfect for all skin types, this soothing, cutting-edge, super-blendable cream provides perfect coverage that never creases or cracks and makes your skin appear supple, even, and youthfully radiant all day long. One universal shade works for all skin tones. 

What it is formulated WITHOUT: 
- Parabens 
- Sulfates 
- Phthalates 

What else you need to know: 
 This product was developed with plastic surgeons and dermatologists. It is clinically tested, talc-free, bismuth-free, and cruelty-free. ","-Colloidal Oatmeal: Moisturizes, softens, and smooths your skin. Excellent for sensitive skin. 
-Aloe: Soothes, moisturizes, and helps improve your skin’s elasticity. 
-Avocado Oil: Acts as an emollient and hydrates skin. 
-Green Tea: Provides antioxid"
tarte,Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen,$36.00 ,SIZE 1.7 oz,4.3 / 5 stars,"What it is: 
 An oil-free, multitasking tinted moisturizer that hydrates, brightens, treats, and protects skin. 

What it is formulated to do: 
- Lightweight, oil-free moisturizer blends easily into your skin without clogging pores, while micro-treated mineral pigments diffuse the look of fine lines and wrinkles for an even, natural-looking finish 
- Features SPF 20 sun protection 
- Comes in 10 shades 

 Infused with skin-balancing Amazonian clay and chamomile, vitamins A, C, and E, and sodium hyaluronate, this multitasking, tinted moisturizer hydrates, brightens, treats, and protects skin from UV rays and free radical damage with SPF 20. It offers lightweight, buildable coverage, making it easy to achieve a flawless complexion. 

What else you need to know: 
 This product is vegan.","-Amazonian clay: Provides total balancing for better, longer, truer wear. 
-Vitamin E: Acts as an anti-inflammatory emollient and protects against free radical damage. 
-Vitamin A: Powerful antioxidant that minimizes the signs of aging while it supports"
Wander Beauty,Wanderlust Powder Foundation,$40.00 ,SIZE 0.31 oz/ 9 g,4.3 / 5 stars,"Coverage:
? Medium

Skin type:
? Sensitive
? Normal
? Dry
? Combination
? Oily

Finish:
? Matte

What it is:
 An innovative, hydrating, ultra-fine powder foundation with globally sourced, skin-loving ingredients that glide on and last all day.

What it does:
 Wanderlust Powder Foundation provides full coverage with an incredibly natural-looking finish. The lightweight and ultra-fine powder absorbs excess oil and minimizes pores without ever looking cakey. It’s infused with aloe leaf extract to moisturize skin and restore suppleness while hibiscus flower extract evens out your skin tone and increases the look of your skin’s elasticity. It blends seamlessly with a flawless, natural-looking finish that never cracks. Wear it alone with the included anti-microbial rubicell applicator for full coverage, or layer on top of liquid or cream foundation to mattify skin. 

What it is formulated WITHOUT:
- Parabens
- Sulfates
- Phthalates

What else you need to know:
 Wander Beauty creates multitasking makeup essentials so you can look gorgeous on the go. The brand draws from global inspiration as each formula is enriched with skin loving ingredients from around the world. Wander Beauty is color to be carried. 

""Luxurious, lightweight, and versatile, Wanderlust Powder Foundation gives me the natural, weightless finish I crave without masking my inner radiance. The super luxe, talc-free formula is silky soft to the touch and packed with skin loving ingredients.""—Lindsay Ellingson, Co-founder and Creative Director 

This product is cruelty-free and free of talc, synthetic fragrance, mineral oil, and gluten.","-Aloe Leaf Extract: Moisturizes skin and enhances appearance of dry skin by reducing flaking and restoring suppleness. 
-Honeysuckle Flower Extract: Provides antiseptic and anti-inflammatory properties. 
-Hibiscus Flower Extract: Evens out the skin tone"
CLINIQUE,Acne Solutions BB Cream Broad Spectrum SPF 40,$39.00 ,SIZE 1 oz/ 30 mL,4.2 / 5 stars,"Which skin type is it good for?
? Oily
? Combination

What it is:
A multitasking SPF cream for oily and acne-prone skins that feels weightless, conceals imperfections, and does not cause breakouts.

Solutions for:
- Oiliness
- Sun protection

If you want to know more…
- A mattifying BB cream specifically developed for acne-prone or oily skin to camouflage, protect, and hydrate 
- Features SPF 40 sun protection 
- Comes in five shades 

This all-in-one skin perfector for oily and acne-prone skin features high-level UVA/UVB protection, moderate coverage, and oil control in an ultralightweight formula. The non-greasy texture eliminates shine throughout the day, does not cause breakouts, and minimizes the look of pores. It's available in a broad range of natural-looking shades from light to deep—mattifying skin without leaving it feeling dry or uncomfortable. Long-lasting for up to 12 hours of wear and oil-free, it conceals imperfections without clogging pores for a super smooth, beautiful finish.

What it is formulated WITHOUT:
- Parabens
- Sulfates
- Phthalates

What else you need to know:
 This product is non comedogenic, allergy tested, and 100 percent fragrance-free. Great for oily or combination skin types, it can be worn over moisturizer or alone.","Octinoxate 7.5% , Octisalate 2.0% , Titanium Dioxide 1.6%Water\Aqua\Eau , Methyl Trimethicone , Alcohol , Ethylhexyl Palmitate , Peg-9 Polydimethylsiloxyethyl Dimethicone , Propanediol , Glycerin , Glyceryl Caprylate , Peg-3 Dimethicone , Dimethicone , Tocopheryl Acetate , Lecithin , Triethoxycaprylylsilane , Stearyl Glycyrrhetinate , Sorbitan Sesquiisostearate , Sodium Hyaluronate , Pyridoxine Hcl , Stearic Acid , Hesperidin Methyl Chalcone , Palmitoyl Tetrapeptide-7 , Sodium Chloride , Aluminum Hydroxide , Steareth-20 , Dipeptide-2 , Silica , Sodium Citrate , Phenoxyethanol , [+/- Mica , Iron Oxides (Ci 77491) , Iron Oxides (Ci 77492) , Iron Oxides (Ci 77499) , Titanium Dioxide (Ci 77891)] "
Benefit Cosmetics,’Hello Flawless!’ Powder Foundation,$34.00 ,SIZE 0.25 oz/ 7 g,4.3 / 5 stars,"Coverage:
? Sheer 

Skin type:
? Sensitive
? Normal 
? Dry 
? Combination 
? Oily 

Finish:
? Natural 

What it is: 
A custom powder foundation with a natural finish that builds from sheer-to-full coverage. 

What it does: 
 This blendable powder foundation goes on sheer and layers easily for customized coverage. Find your perfect shade and sweep it on with the accompanying brush for a sheer, natural finish, or apply with the sponge for full coverage or spot cover-up. 

What else you need to know: 
 The shade stays consistent, and the formula doesn't change color on skin throughout the day—it’s color-true through entire wear. Note: Since this is a new higher-quality formula, the tone of the powder in the pan looks slightly different. The shade on skin matches the existing Hello Flawless Powders. ","-Octinoxate (Ethylhexyl Methoxycinnamate) 6.00% 
-Titanium Dioxide 1.59% 
-Oxybenzone (Benzophenone-3) 2.00% 

Talc, Silica, Mica, Nylon-12, Phenyl Trimethicone, Polyethylene, Isononyl Isononanoate, Lauroyl Lysine, Aluminum Dimyristate, Triethoxycapry"
MAKE UP FOR EVER,Ultra HD Perfector Skin Tint Foundation SPF 25,$36.00 ,SIZE 1.01 oz/ 30 mL,4.3 / 5 stars,"Coverage:
? Sheer

Skin type:
? Sensitive
? Normal
? Combination

Finish:
? Natural

SPF:
- SPF 25

What it is:
 A revolutionary skin tint that blurs and enhances the look of skin for a perfected complexion. 

What does:
 This innovative, weightless formula creates a blurring effect that enhances and perfects the look of skin. Whether you’re new to foundation or an enthusiast seeking a fresh alternative, this sheer-to-medium coverage tint flatters every face. Long-lasting hydration combined with SPF 25, keep skin feeling supple and protected. Ultra HD Perfector breaks all of the limits we’ve come to expect from foundations with a texture that’s effortless to apply with your fingertips, a nurturing formula, and a long-lasting natural finish. This is your most natural, perfected skin, on demand. 

Ultra HD Perfector is available in 10 shades, with each individual shade spanning uniquely across multiple skin tones.

What else you need to know:
 Ultra HD Perfector's advanced technology offers ten flexible shades that adapt to fit a range of three to five skin tones each. Formulated with warm pigments, this unique formula refreshes and awakens skin for a healthy look. It is made to fit easily into busy schedules and abbreviated makeup routines, while flexing to match your complexion at any point throughout the year.",N/A
Bobbi Brown,Skin Foundation SPF 15,$50.00 ,SIZE 1 oz/ 30 mL,4.1 / 5 stars,"Coverage: 
? Medium 

Skin type: 
? Sensitive 
? Normal 
? Combination 
? Oily 

Finish: 
? Natural 

SPF: 
- SPF 15 

What it is: 
 A water-based, oil-free foundation that delivers undetectable coverage and a fresh, hydrated glow for the most natural skin-like finish. 

What it does: 
 The lightweight, water-based formula sinks into skin, instantly helping to plump, moisturize, and boost your skin’s glow. Sustained hydration keeps skin looking and feeling fresh, and ensures that color stays true all day. The oil-free formula is enhanced with light-reflective optic ingredients to give skin natural-looking radiance. In addition to weightless, long-wearing coverage and hydration, the formula minimizes the appearance of pores, conceals imperfections, and delivers broad spectrum UV protection. 

What else you need to know: 
 This foundation provides buildable, light-to-medium coverage that goes easily. It’s available in wide range of shades for all skin tones. ","Octinoxate 7.50%, Titanium Dioxide 1.00%Ingredients

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients."
MAKE UP FOR EVER,Water Blend Face & Body Foundation,$43.00 ,SIZE 1.69 oz/ 50 mL,4.1 / 5 stars,"What it is: 
A lightweight, water-gel, face and body foundation that provides sheer to buildable coverage with a natural-looking, dewy glow and flawless finish. 

What it does: 
 The iconic Face & Body foundation is back and better than ever. Formulated with 80 percent water and enriched with pro-vitamin B5, Water Blend Face & Body Foundation hydrates and improves your skin’s elasticity. The super lightweight formula allows you to customize your foundation result from sheer to buildable, providing your desired coverage level with a fresh, dewy glow. The long lasting, unique water-gel texture applies quickly and easily then sets to ensure that it will not transfer throughout the day. Ideal for all skin types, this foundation is available in an array of 20 shades to match all skin tones. 

What else you need to know: 
 This revamped, modern formula is the next generation of the original and iconic MAKE UP FOR EVER Face + Body Liquid Makeup Foundation. It’s a makeup artist’s must-have makeup to give skin a lightweight, stay-put, flawless finish.",N/A
IT Cosmetics,Your Skin But Better™ CC+ Airbrush Perfecting Powder™ with SPF 50+,$35.00 ,SIZE 0.33 oz/ 9.5 g,3.7 / 5 stars,"What it is:
 A revolutionary finishing powder with SPF 50+ that gives you buildable, sheer-to-medium coverage and softer-looking skin.

What it does:
 Made with skin-loving Drops of Light Technology™, this multitasking powder is formulated to transform the look of your skin with a veil of optical-blurring pigments that visually camouflage pores, dark spots, and fine lines to leave your skin looking soft, flawless, and luminous. Infused with hydrolyzed collagen, peptides, niacin, and silk, the lightweight, talc-free formula gives you completely buildable coverage that never settles into wrinkles or pores and offers powerful skin care benefits.

What it is formulated WITHOUT:
- Parabens
- Sulfates
- Phthalates

What else you need to know:
 This product was developed with surgeons and dermatologists. It is clinically tested, talc-free, and not tested on animals.

“This truly is an all-in-one, multitasking beauty miracle for your most beautiful skin! If you can’t decide between light and medium, definitely choose medium. I wear medium every day, it really adjusts to your skin tone perfectly!""—Jamie Kern Lima, Co-founder","-Collagen: Supports skin elasticity for a youthful, smooth appearance.
-Peptides: Help reduce the appearance of wrinkles and support natural collagen for the look of smoother, firmer skin.
-Niacin: Promotes a more even appearance and helps combat the lo"
